,id,area_ha,lluvia_mm,temp_media_c,fertilizante_kg_ha,ph_suelo,materia_organica_pct,altitud_m,mano_obra_horas,riego,tipo_suelo,variedad_semilla,uso_pesticidas,historial_plagas,rendimiento_kg_ha,plaga_severa
23,24,1.0600156346769765,324.4619726238895,19.86365820218094,105.67381592411586,,6.103153031833507,850.2970549938505,103.6331805443868,No,Franco,V3,Medio,Ocasional,6402.924504026428,0
24,25,3.345274023149364,934.1441880708556,16.03623009617059,229.6383769546135,7.024480161990233,5.554763231004172,160.8373467921772,60.21383541217816,Si,Arenoso,V2,,Ocasional,8032.55390755892,1
25,26,5.506263977905203,880.5365054404856,19.085609289296563,147.63064621712385,5.862256460846619,0.6227837420762431,247.97642536541144,49.96647733673393,Si, Franco,V4,Medio,Nunca,8154.35035653569,1
26,27,5.928284938826362,534.5434260578872,17.685787651693285,97.11325754135844,5.797952661563138,0.234077123971411,191.82458891944805,126.95741685699002,No,Franco,V2,Alto,Nunca,6908.7300875664405,0
27,28,3.612219887246946,669.4044293499169,17.21400517649759,93.80815363146488,5.496955033841987,0.3920746998393227,161.4524843488436,99.48898975024645,No,Arcilloso,V2,Medio,Nunca,6886.247583346708,1
28,29,3.0830389725677683,665.2575324756746,12.263478116873385,207.07912414693843,6.7204739980804,3.679093855136989,561.6588479072731,115.9989065636126,No,Franco,V1,Alto,Nunca,7148.693392772318,0
29,30,6.30230113363836,697.5495017754236,25.871711092116627,29.55430742801483,6.768493816549558,,639.528586961256,161.75579322577573,No,Arcilloso,V1,Medio,Ocasional,7097.746654731263,1
30,31,3.9769625323935074,563.2037553046097,22.004846820462376,173.33789144222263,6.80654114863852,4.324644063006653,199.7943483196825,158.03537829856813,No,Arenoso,V1,Medio,Ocasional,7411.518757826469,0
31,32,7.191205901266696,778.053675228879,21.17653508662191,128.90311033746298,6.10503303353588,1.7571716678846605,352.2048374941189,50.85796554600675,Si,Arenoso,V2,Bajo,Nunca,7394.474734896073,1
32,33,2.532011958280317,,13.616617671560384,99.5012505254869,5.8189127144143535,3.0189268664848927,193.2079664915134,166.70783753546957,Si,Franco,V2,Medio,Nunca,6601.198552453178,0
33,34,2.6057338659800937,426.7567438923549,18.64362709888128,250.0206161819553,7.063070233280779,1.0195284055341995,479.72258977049125,116.40850981934643,Si,Arcilloso,V1,Alto,Ocasional,6622.429622763601,0
34,35,2.0329670043497834,481.29599373944507,12.063217502767827,172.6862211777452,6.317433441412341,3.89648107433895,415.1610422689599,17.21136348077266,Si,Franco,V2,Bajo,Ocasional,7175.308665890439,0
35,36,1.9616845903074944,688.4043120355808,23.643038168741445,149.00867083404594,6.798415172767237,3.962042289044297,495.7921864826767,137.82340588139917,Si,Arcilloso,V3,Bajo,Frecuente,7904.461224614749,1
36,37,2.557501716248036,327.3687444152854,20.431555336803523,97.62112963825996,5.520825462814535,3.212454685559969,201.7652922750648,63.78689684264798,Si,Arenoso,V2,Medio,Nunca,6218.845673293587,1
37,38,14.325855417782693,804.0250684014304,18.72948059082397,77.07023612627539,5.639510565393334,1.98352123078994,394.7341150129327,137.20674909194446,No,Franco,V2,Bajo,Nunca,7485.683296515415,1
38,39,0.2458647240472111,1090.2875329818417,17.756779339349567,157.6724513057011,6.855416050068908,3.6222230515978886,717.9622049718298,80.91185804240781,Si,Arcilloso,V4,Bajo,Nunca,8314.388084984137,0
39,40,2.662647759189704,587.4086408714502,19.762384253009746,64.88941741514745,4.769726012670379,1.4769736284041417,346.4061662939088,107.071015214212,Si,Franco,V3,,Ocasional,6867.092813311904,1
40,41,5.589373857152144,717.10199817322,21.077570474443736,65.27446407072333,6.539451088300763,6.342425526782151,334.21962155601653,122.58658357568716,Si,Calizo,V4,Bajo,Nunca,7762.292653494451,0
41,42,2.364160186562686,811.7069926154717,21.7339507706264,200.2060157948896,7.5251606031719955,4.992821300660861,294.53474590273845,133.5104943579393,No,Arcilloso,V1,Bajo,Nunca,7971.534289345797,1
42,43,4.168341495671883,542.6708086048093,17.75674144720934,198.50490585656172,6.698775820925818,3.561113553739057,365.9526086181921,12.054695544096802,No,Calizo,V2,,Nunca,6909.822853208033,0
43,44,5.039582163866767,647.9755677545031,20.691777647840414,115.52410565505166,7.033158088341254,3.246712900380983,897.804139655198,159.82136275005738,No,Franco,V4,Bajo,Ocasional,7424.564385692232,1
44,45,4.805269284441729,906.175340057662,14.296292937759272,40.96266964688292,6.454889474380569,1.4228368989708675,0.0,160.64757259680164,Si,Franco,V1,Medio,Nunca,8094.765966512616,0
45,46,1.6302948901455794,616.4425544854148,14.113936201761708,99.1322161049158,7.0448936908640425,1.2004490135991814,561.6985948446464,175.6983876229142,No,Franco,V3,Medio,Nunca,6663.586265881549,1
46,47,10.667125373994653,705.0893942280244,14.88913416947986,89.57194980830965,7.479551059861303,4.141522900807334,590.6475944225022,74.43909348745785,No,Calizo,V3,Bajo,Nunca,7252.080238851492,0
47,48,5.443473663870182,747.9494171327843,17.233076063798084,72.99120108246966,7.310031779729473,5.650226025690101,481.8465835270405,78.53778226529143,No,Franco,V2,Medio,Nunca,7555.754834354338,0
48,49,5.416857610778587,1145.549234054739,19.11020917660685,42.05444057830724,6.548100985613417,4.339805751377519,0.0,149.2229641592221,No,Arcilloso,V1,Medio,Ocasional,8298.657972282374,0
49,50,3.848516026265615,309.4631666016174,17.83262328043585,55.2709978284851,8.02761281240821,3.222643295286713,381.10768834576936,133.0348759085019,Si,Arcilloso,V3,Medio,Ocasional,5833.999867903252,0
50,51,2.5699340040202725,656.84562607423,14.754497274387262,115.68977619316452,6.804917910872759,3.511537910924761,637.3245927423727,45.73591350737557,No,Arenoso,V4,Bajo,Nunca,7271.92350305726,1
51,52,2.36451119735047,698.5312062099663,24.31872670387537,146.40006018834026,7.262840053973461,3.3707489642284045,139.70558803239174,125.5158326668636,Si,Franco,V2,Medio,Frecuente,8227.820029158798,1
52,53,0.7230326291100775,444.3706939106388,19.98289368382284,126.19220997587692,6.724802285123562,1.9363313176240544,66.04271676797066,180.38487344804565,Si,Franco,V4,,Nunca,7201.54718148609,1
53,54,3.079495686948008,405.13673060025474,20.22012493031348,75.61303413621404,7.929013536247591,0.6311594196362498,59.222568791682136,117.34728071743456,No,Franco,V3,,Ocasional,6571.89047146171,1
54,55,1.941399195883626,715.4179482600516,21.01167330200249,133.7543422018729,5.814637667915576,0.6233928130643489,510.8326473979511,116.93343457048204,Si,Arenoso,V3,Bajo,Nunca,7274.134286937754,0
55,56,1.9506426914369568,752.9495764253429,16.488222657656042,101.977734026908,6.883504196410842,5.562772745661175,0.0,123.6583625158476,Si,Franco,V1,Alto,Nunca,7973.128561207762,0
56,57,3.6468166426527056,670.7280370120943,15.851099045016184,182.87315730644332,7.048199664340096,2.8377395256363878,431.3765873698136,131.9528273856032,Si,Arenoso,V3,Alto,Nunca,7570.507705786945,0
57,58,2.558482772929282,763.9199753095833,16.95288368927912,173.94470293375696,7.018651731105962,4.0007739539988485,500.4164607288011,151.7175351307444,Si,Arenoso,V2,Medio,Ocasional,7736.520721741257,1
58,59,0.1604620825845751,728.9365253492759,15.080282866750204,54.65611025258568,7.443990367611682,9.38817785191506,794.2046832170273,91.03740486068412,Si,Franco,V4,Bajo,Frecuente,7764.170139174249,0
59,60,2.875956890610272,230.45645751838373,20.88746937055281,150.99581578696,5.704605974169413,0.7248838598748354,770.5152557725987,69.25569436352595,Si,Arenoso,V2,Medio,Nunca,5711.325590907728,1
60,61,5.743634605874271,647.9752132092129,13.89978189058798,140.51508329331466,7.217761037373251,1.718269330589422,0.0,102.74609106266324,Si,Franco,V4,Bajo,Nunca,7336.4494339469875,0
61,62,2.2833242699013057,917.5239500167806,19.96316846814684,116.1479278726047,6.993332587804607,2.049637542719476,282.06615113201644,135.31113620307838,No, Franco,V1,Medio,Nunca,8106.197590308444,1
62,63,2.292676442913189,435.8405429415519,13.45162133327931,68.08552684694634,8.5,1.5395232725516246,498.3482383056952,72.60680574117535,Si,Arenoso,V1,Alto,Nunca,6112.035364747506,0
63,64,7.076573559614474,679.4420903639946,13.625664148351152,106.8848746439582,6.193545293107608,2.9545321789563905,1053.4696182834916,89.82049288290247,Si,Arenoso,V2,,Ocasional,7200.314150985872,0
64,65,9.630957149537831,569.9476304022666,22.576352759475423,79.96038496618942,6.782555831777839,3.7360516127640455,453.40268223887045,161.84348268324317,Si,Franco,V3,Medio,Nunca,7228.973510822127,0
65,66,1.1748069755444808,576.2423260280601,20.45485066928872,201.45571856152617,6.715738956043799,1.5907420789832432,485.46294445212607,130.23232941788277,No,Arenoso,V2,Medio,Frecuente,7116.060159133855,1
66,67,7.8193795640853665,628.9076783351687,16.135371196014113,77.96133579065632,6.390871799752555,3.923235262181427,139.81522315450104,149.0648686325086,Si,Arenoso,V3,Medio,Nunca,7255.163812530553,0
67,68,2.845136516041991,893.6742096763105,24.38638868951988,146.11259283607424,6.307738420017982,2.275436522029646,180.7618935115841,161.27958251105056,No,Calizo,V3,Bajo,Ocasional,7848.413270146293,1
68,69,3.0751908868247324,826.5243700259497,19.88104513141656,153.04635276254925,6.118412983257593,5.200082750402181,417.6846588096537,184.73074731443825,Si,Arcilloso,V2,Medio,Nunca,8195.7343186496,0
69,70,2.2136605971571126,445.0710603902787,20.838587319835643,168.38521378675426,6.446784626312621,1.84513317209327,183.4023181718872,123.05870386647918,Si,Franco,V2,Bajo,Nunca,6950.529702846619,0
70,71,2.831462518420514,124.31070502040922,17.14396053236378,168.60964209939942,6.766898501596646,0.5033074086483676,747.3044812770316,86.96688657736763,No,Arcilloso,V2,Medio,Nunca,5023.610072072348,0
71,72,2.629377826095645,214.35015624371,16.987354374378118,90.33934659107013,5.851281687323072,4.990785755775179,364.0737113491151,64.89914723511475,No,Franco,V2,Alto,Ocasional,5477.215830842069,0
72,73,2.2239765259912923,505.8135678921019,15.547278424292925,278.8680156145362,6.236488163381179,2.692133800776292,534.2599700013599,176.57660406862192,Si,Arenoso,V3,Bajo,Frecuente,6927.223310988979,0
73,74,5.236866809842489,759.4395523911979,21.534819924596366,327.0670901989077,5.756077836927868,1.6843163683985172,68.08863049582556,119.19530476355028,No,Franco,V4,,Nunca,7833.955267316531,1
74,75,1.9536738888717844,,18.948921742154035,210.0085366582388,7.069420205673577,3.940203711705122,347.4622556959818,35.14337528544766,No, Franco,V2,Bajo,Ocasional,7166.884532118065,1
75,76,6.804804173443968,373.42326904018137,11.753837615776064,301.902246321155,6.205588895899721,2.2478629264451224,616.8752482513689,164.00601037913702,Si,Franco,V3,Bajo,Ocasional,6449.8871677717125,0
76,77,2.487531432464892,435.9409937056746,19.994428221864712,89.6950361973463,8.113968660210897,2.005888678592102,383.8402670883829,51.15960604362441,Si,Arcilloso,V2,,Ocasional,6494.892400744197,1
77,78,1.352284961179848,667.4504679187118,24.760034699883736,72.19345711849239,7.271500552956435,2.245527985967713,845.6870468050973,110.7544401322736,Si,Franco,V1,Medio,Nunca,7884.276893817463,1
78,79,1.6822357071536205,744.7092742852285,15.393015661115706,188.87513338139527,6.396724071009053,0.9263408474137954,260.2412778819685,135.62131262814796,No,Franco,V3,Bajo,Frecuente,7464.268533565572,1
79,80,5.348321356283287,669.7580485821794,18.726811228353533,215.1264353924097,5.322100586335541,5.63514308890227,401.5776550918576,110.25764697286763,No,Franco,V3,,Nunca,7267.4131469148015,0
80,81,4.385932580915552,506.7335758086439,19.099600818505703,75.99484744601703,6.165244476821335,5.674603467793787,922.9362692306348,158.77834336814578,Si,Arenoso,V1,Medio,Ocasional,6752.313399461662,0
81,82,3.6877150790288096,789.3500578186018,19.294909816805667,546.5544488268952,7.402862267916944,2.910701589409889,407.8869768350448,76.36886744593761,No,Arcilloso,V3,Medio,Nunca,8112.54028093508,0
82,83,2.9147189771574364,889.7190120876808,9.09679154632039,514.6973155470513,6.842170171974038,2.749902225551866,434.7544371162503,111.64536816748392,Si,Franco,V4,Medio,Ocasional,8484.439345508936,0
83,84,6.4574920544919125,950.26485714744,21.20552381064084,192.72274243318097,7.021030354513057,6.420056103883097,117.98679326685745,134.23534208557726,No,Arcilloso,V2,,Nunca,8192.76638307047,0
84,85,1.8409686511989816,846.5689761023784,15.260781028206813,976.8525643954908,6.336510865778653,2.393827439941944,360.0418298831988,145.09830841876865,No,Franco,V3,Bajo,Ocasional,7614.686490237524,1
85,86,3.725667835434893,679.5923339239733,16.939020136314813,193.8937911470406,7.336782670217849,2.348598085275531,429.16264324429056,183.1669809905705,Si,Arcilloso,V1,Bajo,Ocasional,7766.894963359763,1
86,87,8.012836916312756,876.1769464684887,18.283272745441035,109.98465898023338,5.814432574000369,1.0492828325998669,629.2095971570202,94.76279713880686,No, Franco,V2,Alto,Ocasional,7506.663175187035,1
87,88,2.171375582787233,291.1778445515915,18.77285734302516,72.32016485988278,6.734203438846529,2.420163559899108,800.9196837014629,87.09782631877064,No,Arcilloso,V1,Bajo,Ocasional,5829.5635244081,0
88,89,0.9455523722048236,680.8142624958136,25.06362476016393,113.56988452293888,6.789438042434244,1.7255129905240143,147.39331258361722,135.67495258233902,No,Calizo,V2,Bajo,Nunca,7377.882412844489,1
89,90,3.025993183509775,273.0615888704484,18.733789645069265,169.71765817763327,5.688309422979642,0.5965290541560976,333.70470375076013,127.82315093205416,No,Arenoso,V2,Medio,Nunca,5810.837396076192,0
90,91,3.367025939971457,683.158898081475,19.514555644069063,398.9352989600851,6.3066899482813605,4.211348069500858,622.4103189156714,66.99031841080802,Si,Franco,V3,Medio,Ocasional,7562.784850324156,1
91,92,2.114469291850502,641.0490129974522,22.878939143647266,65.37525428860775,7.216177147250768,5.21093225400306,698.6911474118046,100.21400940824972,Si,Arcilloso,V3,Bajo,Nunca,7400.917540953986,1
92,93,7.970768217914902,584.9723794075848,19.214475456923324,72.17409733306893,7.304215112311198,5.205970549808842,340.6128830609933,61.323791768219465,Si,Arcilloso,V1,Bajo,Ocasional,7121.096784861029,0
93,94,3.864776858742952,643.0131818341782,11.884291086253585,77.85691089899339,6.486193425445032,5.1604103097071246,0.0,158.03481435739064,No,Arenoso,V2,Bajo,Ocasional,6911.935392552941,0
94,95,3.3793415157499678,619.5341822798229,20.556910463084662,113.12177156480423,7.647939878792836,1.7493070582079353,477.8099497350256,186.6167067853504,No,Franco,V2,Bajo,Nunca,7128.675571057418,1
95,96,2.1213843436745794,767.2200817546628,14.679066191084557,203.45210485724056,6.408835368096145,2.4515663976563795,0.0,143.0916728475841,Si,Arcilloso,V2,Medio,Nunca,7652.425962103421,1
96,97,3.298381693125956,602.9419120060746,23.052946167190637,127.24176081406048,6.973527430394103,,485.659585687764,207.66008025425245,No,Franco,V2,Bajo,Nunca,7106.786351382732,0
97,98,2.469804770497094,414.0896114747108,11.920090778424854,99.22233495874116,6.099881187147106,2.570128225018505,458.7013132385016,137.55048970785626,Si,Franco,V3,,Ocasional,6751.74531010739,0
98,99,1.570787604655704,626.4846079705703,22.07827363372327,80.20667106844316,7.566219200536453,3.255506361198089,353.6932599586119,77.90916214654666,No,Arenoso,V2,Medio,Ocasional,7106.535548320455,1
99,100,1.3127063693254848,613.01116116398,17.2597199849223,134.96297087806923,6.619828938132175,3.546373366248208,810.8283361158216,94.98025654349463,Si,Arcilloso,V2,Bajo,Nunca,7341.437105011029,0
100,101,2.6836320469092843,899.1810482817901,18.76839480820498,101.08879985470624,6.667760120541356,3.067862655898347,283.61248768407074,116.86396268184018,No,Franco,V3,Alto,Ocasional,7820.023562621153,1
101,102,2.962545906939673,621.9388179273672,18.39435365893541,135.14195293038176,7.388697613132583,4.290228543705841,728.3789507176788,90.65099685800188,No,Franco,V2,,Nunca,7150.887268461477,0
102,103,5.0798836188261385,544.275757975683,16.96010646494922,211.2665803059681,7.899756213246456,4.132745573976021,0.0,108.40712623227998,Si,Arenoso,V2,Medio,Frecuente,6943.46771108553,0
103,104,4.6544211231952,1013.0564052548388,15.093295486198254,70.33784572609783,6.082505858265343,2.221680511475064,591.3277879546191,30.31722521231597,No,Franco,V4,Bajo,Nunca,8266.380307887888,1
104,105,2.3781068517714927,482.8575867490504,19.955511242094364,184.34433792972257,8.10677445629809,1.9036919212797567,588.2967188567546,170.8026302895299,Si,Arcilloso,V2,Medio,Nunca,6905.465077069666,0
105,106,5.559634194215601,613.7759116936015,17.1993226591894,108.72394393696132,6.612622618002214,5.06693448230491,223.49056205214129,152.08837463115617,No,Calizo,V3,Bajo,Nunca,7249.225207467241,0
106,107,4.6289801941571165,,14.645943979560592,48.22326766126479,5.830027695568028,1.8202116981165848,81.93980958936419,92.23771803245045,Si,Arenoso,V4,,Ocasional,6281.793724626659,1
107,108,7.241564660683798,616.5612570592913,15.008590413864834,98.10989416596222,7.287134564212104,1.6830223328895888,134.28088471068872,93.14298228851352,No,Arcilloso,V2,Alto,Nunca,6805.5090847814745,0
108,109,0.3797360550760956,381.5982615318142,13.87769188889397,150.20646805152148,7.845005815917664,9.349523240410193,348.4249055149652,181.35814241750356,Si,Arcilloso,V2,Medio,Nunca,6508.61833212848,1
109,110,5.8132981453471855,640.8852688792961,26.76228708445462,59.7092101920514,6.437518363715761,5.415825966343264,624.099645308341,82.94386705620644,No,Calizo,V1,Bajo,Nunca,7651.960852645768,0
110,111,1.4275223384298812,680.5206318875743,18.647495217334875,72.79105428387378,7.53115868195305,2.9217271870797306,106.233160663118,63.88144198701642,Si,Arcilloso,V2,,Nunca,7336.831408735213,0
111,112,2.614294678311636,478.1962537259039,25.132119289763917,217.126194897829,5.955858772444512,3.2738989222524806,97.88406589944827,113.77097520759044,No,Calizo,V1,Bajo,Frecuente,6792.557580042907,1
112,113,3.4192945906033554,846.4481562375603,17.509174933772503,98.36075135075691,6.023040671372182,3.5551562874527627,440.31561586917394,105.43403236884244,Si,Calizo,V1,Bajo,Nunca,7454.507437036765,0
113,114,3.2751407834099604,588.9320612432545,25.112855404921856,166.0143622137745,6.186149576946294,1.1170598918866577,701.5265486669833,139.81076931208798,No, Franco,V4,Medio,Ocasional,7350.473756214548,1
114,115,3.3882701351391726,329.7393549798425,17.210073182140743,136.2143128971284,6.731794441204024,4.100512899425322,0.0,106.67547774773826,Si,Franco,V1,Medio,Nunca,6600.847792233242,0
115,116,2.448202568999388,483.9027474035112,13.788390835390134,171.61749747917688,5.420925906587375,6.079566527143213,191.1564406953142,126.32739413592014,No,Franco,V3,Bajo,Nunca,6660.522735442923,0
116,117,3.7526651265105193,241.3648753720332,18.94022332639494,283.96899630859474,5.796440739152356,8.113189292007778,445.1165907878511,152.3661987458774,No,Arcilloso,V3,,Nunca,5909.706957103414,0
117,118,11.835479558400506,378.4547773972058,20.19052497568482,139.4043607289367,5.81651305563498,3.0198038032285077,636.7357012889269,117.09145281134822,Si,Arcilloso,V1,,Nunca,6398.094233731857,1
118,119,2.153269041280832,247.37445535609328,18.432698174098192,119.58715115695465,7.099502884441688,4.655926506821634,25.274290955653957,170.8285796401364,Si,Calizo,V1,Bajo,Frecuente,6129.260205566788,0
119,120,6.978062114868802,681.8427986694388,16.906909920689735,66.62373055484738,4.920719025809718,2.4111190918633394,227.0309792501576,91.37844657514228,Si,Arenoso,V1,Bajo,Nunca,7146.285738099422,0
120,121,3.25628594173062,681.4386899838707,16.157890062584077,96.58737069448571,5.977754005699663,1.3439107953040794,1003.3031160793836,142.87581120795463,Si,Arcilloso,V2,Bajo,Ocasional,7286.763087044136,1
121,122,4.976992426171003,884.1456412635615,16.210242423315943,100.3898794850942,6.398391011805734,3.311357739239165,223.95788954643973,107.0690361951219,No, Franco,V4,Bajo,Nunca,8078.082545896004,1
122,123,9.207359304537304,798.0515388418214,24.56001573403951,181.91296780969407,6.589367878743895,1.952207187191053,70.12533403149263,136.20715978419804,Si,Arcilloso,V2,Bajo,Nunca,8125.959960108669,1
123,124,2.132867797194338,334.9207716894732,17.819084671539848,331.3105226185556,5.747023427795469,2.6458720617079265,493.7867929564875,31.15674845215928,No,Arcilloso,V2,Medio,Nunca,6108.677261291805,0
124,125,7.427083712929083,806.1962949463873,14.94608633651919,58.55949479947231,6.979533812026656,3.2025728593746394,355.6173694762164,170.0621299757832,No,Arcilloso,V2,,Ocasional,6995.040289673301,1
125,126,1.7039511051959308,376.2682275756569,18.385364707046637,101.2688867538988,6.448773629189166,2.4265232052805983,978.0309665855982,92.68059579303744,No,Calizo,V1,Bajo,Ocasional,5993.265563848514,1
126,127,4.669429504143811,495.2044269326436,10.182026396939625,87.80451984559124,6.761968864046144,3.0103224883000537,528.411462149897,128.13933805096644,No,Franco,V4,Alto,Ocasional,6796.137674016281,0
127,128,2.3461284834703355,422.09992494967184,14.430708527388632,75.12856582662916,8.457809672023995,1.7678763969647069,377.62404813500825,212.4655989517445,No,Arcilloso,V3,Alto,Nunca,6293.210535028355,1
128,129,2.01058221833268,602.4862884344437,14.51623801088682,160.63511665719147,6.210941555069413,3.9554704469302497,481.573929652568,112.8155211728134,No,Arenoso,V1,Medio,Ocasional,6809.463646639397,0
129,130,4.000499213694356,675.7383086777387,20.390514394986766,164.79684905707776,6.937866853933504,,681.5511212004857,202.6212017133788,Si,Franco,V4,,Nunca,7862.969778734589,1
130,131,1.012351373692483,492.88368928797865,22.00532029193149,171.09920534145724,6.75959466144636,2.838118322533269,424.5485428332676,70.6813814674313,No,Arcilloso,V3,Medio,Nunca,6607.595170479602,1
131,132,5.4926370022452655,613.3621676913418,19.02330975428789,67.62860426142484,7.615486885319756,5.243437427072603,84.8267407188701,112.1171520806477,Si,Arenoso,V3,Bajo,Nunca,7049.759507610488,1
132,133,4.070203966484741,1002.4021868181508,13.213784655100556,147.53560681617648,7.242817631047777,2.1183091711205244,281.3437079376563,131.6560437421986,Si,Arcilloso,V2,Medio,Ocasional,8010.073020036768,1
133,134,0.8211571866299313,684.4276032778546,14.704400568492003,141.5062333919309,5.942388204665725,1.940345041009636,229.36828968465005,126.44840561148226,No,Franco,V2,Bajo,Ocasional,7036.47071225848,1
134,135,12.708087529749909,448.769212653999,22.92752857609794,158.83749496997424,5.917772860841102,1.787449841771431,538.7842961650383,138.82462081816186,Si,Franco,V2,Medio,Frecuente,6874.673195615251,1
135,136,3.960624024724448,598.8029838038839,16.433148740029793,491.3665362447055,6.088212480433672,1.5021054578053212,348.9936713449284,94.87324540583276,Si,Franco,V2,,Nunca,7510.679660196319,1
136,137,4.252804811632245,709.4897199123699,12.564228165929345,149.08766867370352,6.266485233751653,2.8491545798497757,625.9798600508975,65.19557528871034,No,Arcilloso,V2,Medio,Nunca,6896.401436369856,1
137,138,1.3611340172272326,581.2567682798169,22.510052654830588,129.3889939545344,6.079379622556959,3.161598900949515,943.9462703689558,88.8881098461836,No, Franco,V4,,Nunca,7289.905897617796,0
138,139,2.812753821551617,1071.8247978240097,60.0,174.52027837169803,7.244027484197433,2.395960230125953,748.1692938410838,96.31111034331798,No,Calizo,V3,Bajo,Nunca,8079.57465694109,1
139,140,1.9795829321156209,452.2395649524266,14.665581148775152,75.30419122934646,6.213170720395021,3.324808918943932,115.19079191670892,144.14579911784529,Si,Calizo,V3,Medio,Nunca,6470.18567103557,0
